gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,charge_per_tenure,long_term_mth_to_mth
Male,0,No,Yes,25,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,119.52,2992.69,1,4.596923076923077,1
Female,0,Yes,No,43,No,No,DSL,No,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,30.99,1337.32,1,0.7043181818181817,1
Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),47.56,2418.46,1,0.9146153846153846,1
Male,0,No,No,56,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,Two year,No,Electronic check,62.83,3530.21,0,1.1022807017543859,0
Female,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No internet service,Two year,Yes,Mailed check,44.3,798.89,0,2.331578947368421,0
Male,0,No,No,44,Yes,Yes,No,No,No,Yes,No,No internet service,No,One year,Yes,Bank transfer (automatic),74.31,3269.75,0,1.6513333333333333,0
Male,0,No,Yes,53,Yes,No phone service,No,No,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),53.73,2849.16,1,0.995,1
Male,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,36.65,1060.44,1,1.2216666666666667,1
Male,0,No,Yes,14,Yes,Yes,No,Yes,No internet service,No,Yes,No,No,One year,Yes,Credit card (automatic),114.1,1596.39,0,7.6066666666666665,0
Female,0,No,No,22,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,29.1,644.55,0,1.2652173913043478,0
Male,0,No,Yes,4,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,81.3,326.21,1,16.259999999999998,0
Male,0,No,No,70,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,63.87,4473.79,0,0.8995774647887324,0
Male,0,No,No,63,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,28.01,1755.79,0,0.43765625,0
Female,0,Yes,No,24,Yes,No,No,No internet service,Yes,No,Yes,No,No,Two year,Yes,Mailed check,66.2,1584.43,0,2.648,0
Female,0,Yes,No,22,No,Yes,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),54.36,1199.27,1,2.3634782608695653,0
Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),36.68,584.62,0,2.1576470588235295,0
Male,0,No,No,48,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Mailed check,104.26,5002.19,0,2.1277551020408163,0
Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.87,972.09,1,6.220769230769231,0
Female,0,Yes,No,47,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,23.31,1099.53,0,0.485625,0
Female,0,Yes,No,62,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No,One year,Yes,Mailed check,106.66,6611.79,0,1.6930158730158729,0
Male,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,20.16,83.3,0,4.032,0
Male,0,Yes,No,47,Yes,No,DSL,No,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,83.85,3947.93,1,1.746875,1
Female,0,No,No,18,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),70.92,1274.23,0,3.7326315789473683,0
Male,0,No,No,55,Yes,No phone service,No,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,23.11,1263.84,1,0.4126785714285714,1
Female,0,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,91.1,6278.0,1,1.3014285714285714,1
Female,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),82.68,4219.89,1,1.59,1
Female,0,No,Yes,58,No,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),50.8,2947.88,0,0.8610169491525423,1
Female,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,119.94,4673.25,0,2.9985,0
Male,0,No,No,16,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.91,1459.6,1,5.347647058823529,0
Female,0,No,Yes,13,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),66.28,859.94,1,4.734285714285714,0
Female,0,No,No,11,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,64.74,719.3,1,5.395,0
Male,0,Yes,No,0,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,Yes,One year,No,Mailed check,40.28,0.0,0,40.28,0
Female,0,Yes,No,12,Yes,No phone service,No,No internet service,Yes,No,Yes,Yes,No internet service,Two year,Yes,Mailed check,93.6,1124.75,0,7.199999999999999,0
Male,0,No,No,33,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No,No,One year,Yes,Mailed check,60.84,2007.41,0,1.7894117647058825,0
Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.68,516.87,1,1.0295652173913044,0
Female,0,No,Yes,20,No,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,43.4,874.47,1,2.0666666666666664,0
Male,0,No,No,69,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,No,Two year,Yes,Credit card (automatic),80.09,5525.16,0,1.1441428571428571,0
Male,0,Yes,No,44,No,No,No,Yes,Yes,Yes,No internet service,No,Yes,One year,Yes,Electronic check,92.74,4079.78,0,2.060888888888889,0
Male,0,No,Yes,52,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,20.41,1057.89,0,0.3850943396226415,0
Male,0,No,No,33,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,One year,Yes,Electronic check,32.31,1061.06,0,0.9502941176470588,0
Female,0,Yes,No,39,No,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,62.89,2464.4,1,1.57225,1
Female,0,Yes,No,62,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,77.79,4827.11,1,1.234761904761905,1
Female,1,No,No,14,Yes,No,No,No,Yes,Yes,No,Yes,No internet service,Two year,Yes,Credit card (automatic),107.84,1509.29,0,7.189333333333334,0
Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,64.86,3049.76,1,1.35125,1
Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,42.54,677.59,0,2.5023529411764707,0
Male,1,No,No,16,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.87,1725.48,1,6.345294117647059,0
Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,100.25,1405.25,1,6.683333333333334,0
Female,0,No,No,49,Yes,Yes,No,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),71.77,3520.07,1,1.4354,1
Male,1,Yes,No,2,Yes,No,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),70.87,145.48,1,23.623333333333335,0
Male,0,Yes,No,50,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,36.91,1846.1,1,0.7237254901960783,1
Male,1,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.47,1173.18,1,7.497692307692308,0
Male,0,No,Yes,12,No,No,No,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,60.07,716.93,1,4.6207692307692305,0
Male,0,Yes,Yes,26,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),27.26,708.82,0,1.0096296296296297,0
Male,0,Yes,No,17,Yes,No,No,No,Yes,No,No,Yes,No,One year,No,Electronic check,41.48,698.46,0,2.304444444444444,0
Male,0,No,No,61,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No,Two year,Yes,Electronic check,24.58,1496.75,0,0.3964516129032258,0
Female,1,Yes,No,23,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,72.93,1671.66,1,3.0387500000000003,0
Female,0,Yes,No,41,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No,One year,Yes,Electronic check,99.75,4095.4,0,2.375,0
Female,1,Yes,No,67,Yes,Yes,DSL,Yes,No,No,No internet service,No,No,One year,Yes,Electronic check,107.14,7184.69,0,1.5755882352941177,0
Male,0,No,No,20,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.53,1250.57,1,2.9776190476190476,0
Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,28.7,690.44,0,1.148,0
Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,Yes,Mailed check,96.47,2314.25,0,3.8588,0
Male,0,No,No,4,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),108.79,431.41,1,21.758000000000003,0
Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,112.96,7123.07,1,1.765,1
Male,1,Yes,No,68,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,23.34,1585.06,0,0.3382608695652174,0
Male,0,Yes,No,43,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,No,Mailed check,62.06,2668.09,0,1.4104545454545454,0
Male,0,Yes,No,57,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,18.17,1038.68,0,0.31327586206896557,1
Male,0,No,Yes,35,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),78.33,2737.07,0,2.1758333333333333,0
Female,1,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),51.51,3087.46,1,0.8444262295081967,1
Male,0,Yes,No,51,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,66.14,3371.07,0,1.271923076923077,1
Male,1,No,No,16,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),43.35,700.17,1,2.5500000000000003,0
Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Two year,No,Mailed check,112.0,4926.09,0,2.488888888888889,0
Male,0,Yes,No,8,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,97.89,780.8,1,10.876666666666667,0
Male,1,No,No,46,No,No phone service,DSL,No,No,No,No internet service,No,Yes,Two year,No,Electronic check,85.47,3930.96,0,1.8185106382978724,0
Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,No,One year,Yes,Electronic check,55.95,1230.83,0,2.432608695652174,0
Female,0,Yes,No,55,Yes,No phone service,No,No,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,22.28,1224.48,0,0.39785714285714285,1
Male,0,Yes,No,51,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,98.06,4997.76,0,1.8857692307692309,0
Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,One year,Yes,Bank transfer (automatic),83.39,0.53,1,83.39,0
Female,0,No,No,64,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,One year,No,Mailed check,105.49,6750.73,0,1.622923076923077,0
Male,0,No,Yes,54,Yes,No phone service,DSL,No,No,Yes,No,Yes,No internet service,One year,Yes,Mailed check,50.03,2700.66,0,0.9096363636363637,0
Female,0,No,No,18,Yes,No,No,Yes,No,No,No,No internet service,No,Two year,No,Bank transfer (automatic),117.87,2126.19,0,6.203684210526316,0
Male,0,Yes,Yes,4,No,No phone service,No,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,76.73,313.82,1,15.346,0
Male,0,No,No,27,Yes,No,DSL,Yes,No,No internet service,No,No internet service,No,Two year,Yes,Mailed check,110.07,2961.09,0,3.9310714285714283,0
Female,0,No,Yes,37,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,Two year,No,Electronic check,25.68,954.82,0,0.6757894736842105,0
Female,0,No,No,57,Yes,Yes,DSL,No internet service,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),35.94,2057.72,0,0.6196551724137931,1
Male,0,No,No,42,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,No,One year,No,Credit card (automatic),97.48,4103.83,0,2.2669767441860467,0
Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),109.46,3178.72,1,3.6486666666666663,1
Male,0,Yes,No,53,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),28.7,1521.61,0,0.5314814814814814,0
Male,0,No,No,7,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,113.8,800.33,1,14.225,0
Female,1,Yes,No,57,Yes,No,No,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,46.11,2618.91,0,0.795,1
Female,0,Yes,No,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,85.21,4602.25,0,1.5492727272727271,0
Male,0,Yes,Yes,27,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,No,Two year,Yes,Mailed check,23.25,628.8,0,0.8303571428571429,0
Male,0,Yes,No,6,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),30.93,182.49,0,4.418571428571428,0
Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,57.84,1094.76,1,2.8920000000000003,0
Female,0,No,No,65,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,69.07,4486.34,0,1.0465151515151514,1
Male,0,No,Yes,58,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.84,2882.32,1,0.8447457627118644,1
Male,0,No,No,56,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,28.09,1583.59,1,0.49280701754385964,1
Male,1,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),96.02,2593.13,0,3.4292857142857143,0
Male,0,No,No,42,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),116.18,4875.03,1,2.701860465116279,1
Female,1,No,No,6,No,No phone service,DSL,No internet service,No,No,No internet service,No,Yes,One year,No,Electronic check,85.72,510.94,1,12.245714285714286,0
Female,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,105.27,5268.29,1,2.0641176470588234,1
Female,0,No,No,70,No,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),70.1,4903.86,1,0.9873239436619717,1
Female,0,Yes,No,27,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,27.73,750.98,0,0.9903571428571428,1
Female,0,No,No,31,No,No,DSL,No internet service,No internet service,Yes,No,No,No,Month-to-month,Yes,Mailed check,100.15,3098.1,1,3.1296875,1
Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,91.11,6469.76,1,1.2654166666666666,1
Male,0,No,Yes,50,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),106.91,5352.7,1,2.0962745098039215,1
Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.41,5658.75,1,1.450952380952381,1
Male,0,No,Yes,62,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),101.42,6288.51,1,1.6098412698412699,1
Male,0,No,Yes,2,Yes,No,No,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,62.34,121.24,0,20.78,0
Male,0,Yes,Yes,38,Yes,Yes,DSL,No,No internet service,Yes,No,No,No,Two year,No,Electronic check,32.56,1242.28,0,0.834871794871795,0
Female,1,Yes,Yes,18,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,118.77,2132.25,1,6.251052631578947,0
Male,0,No,No,2,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),33.45,62.69,0,11.15,0
Male,0,Yes,No,66,Yes,No,No,No,No internet service,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),39.49,2609.0,0,0.5894029850746269,0
Male,0,No,No,11,No,Yes,No,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,40.5,448.47,1,3.375,0
Female,0,Yes,No,46,Yes,No,DSL,No,No internet service,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),26.53,1214.39,0,0.564468085106383,0
Male,0,Yes,No,17,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.96,916.84,0,2.997777777777778,0
Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),107.44,6342.05,0,1.7906666666666666,0
Male,1,No,No,46,No,Yes,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.12,1892.01,1,0.8748936170212765,1
Male,1,No,No,58,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),94.97,5511.28,0,1.6096610169491525,0
Male,0,No,Yes,21,Yes,Yes,No,No internet service,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),26.98,562.25,0,1.2263636363636363,0
Male,0,No,No,34,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No,Two year,No,Mailed check,30.49,1037.24,0,0.8711428571428571,0
Female,0,No,No,65,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,84.65,5504.72,1,1.2825757575757577,1
Male,1,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No,One year,No,Electronic check,62.91,3584.11,0,1.084655172413793,0
Female,1,Yes,Yes,17,No,Yes,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.24,1056.35,1,3.457777777777778,0
Male,0,No,Yes,26,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),31.66,823.27,0,1.1725925925925926,0
Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,106.5,3626.29,1,3.0428571428571427,1
Male,0,Yes,No,12,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,105.87,1274.41,1,8.143846153846154,0
Female,0,Yes,No,70,No,No,No,No,No,No,No,Yes,Yes,Two year,No,Electronic check,76.99,5381.77,0,1.0843661971830985,0
Male,0,Yes,Yes,61,Yes,Yes,No,No,No,No internet service,No,No,Yes,One year,No,Mailed check,49.0,2986.37,0,0.7903225806451613,0
Male,0,Yes,No,57,Yes,Yes,No,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),31.59,1794.36,0,0.5446551724137931,1
Female,0,No,No,53,Yes,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),114.65,6077.59,1,2.1231481481481485,1
Male,1,Yes,No,67,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,27.78,1855.43,1,0.4085294117647059,1
Female,0,Yes,No,57,Yes,No,DSL,No internet service,Yes,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),90.48,5162.06,0,1.56,0
Male,0,No,Yes,22,Yes,No,No,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),54.67,1201.86,0,2.3769565217391304,0
Female,0,No,No,63,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,57.42,3614.99,1,0.8971875,1
Male,1,No,No,61,No,Yes,DSL,Yes,No,No internet service,No internet service,No,No,One year,Yes,Mailed check,39.75,2423.5,0,0.6411290322580645,0
Male,0,No,Yes,40,Yes,No,No,No internet service,Yes,Yes,No internet service,No,Yes,Two year,Yes,Electronic check,36.23,1451.52,0,0.8836585365853658,0
Male,0,No,No,66,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.76,1703.79,0,0.38447761194029856,1
Female,0,Yes,Yes,60,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),61.12,3669.68,1,1.0019672131147541,1
Female,0,Yes,No,21,Yes,No,No,No,No internet service,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),20.28,422.11,0,0.9218181818181819,0
Male,0,No,Yes,4,Yes,No,No,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,55.97,214.25,1,11.193999999999999,0
Female,0,No,No,63,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,25.1,1582.12,1,0.3921875,1
Female,0,No,Yes,72,Yes,Yes,DSL,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.39,4491.79,0,0.8546575342465753,1
Male,0,No,Yes,24,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,118.13,2831.41,1,4.7252,0
Male,0,No,Yes,27,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,109.36,2950.28,1,3.9057142857142857,1
Female,1,Yes,No,70,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,108.09,7566.45,1,1.522394366197183,1
Female,0,Yes,No,50,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,95.46,4778.71,0,1.8717647058823528,0
Female,0,No,Yes,25,Yes,No,No,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Mailed check,39.27,981.79,0,1.5103846153846154,1
Female,0,Yes,No,63,Yes,No,DSL,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,48.11,3031.02,1,0.75171875,1
Male,0,No,No,56,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),70.6,3962.6,1,1.23859649122807,1
Female,0,Yes,No,16,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),69.23,1108.37,0,4.0723529411764705,0
Female,0,No,No,1,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,110.35,112.07,1,55.175,0
Female,0,No,Yes,3,No,No phone service,No,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),97.75,289.61,1,24.4375,0
Female,0,No,No,10,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,26.8,265.13,0,2.4363636363636365,0
Female,0,No,No,68,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),40.1,2723.06,1,0.5811594202898551,1
Female,1,Yes,No,63,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),108.74,6845.95,1,1.6990625,1
Female,0,No,No,54,Yes,No,Fiber optic,No,No,No,No,No,No internet service,One year,No,Electronic check,108.22,5837.27,0,1.9676363636363636,0
Female,0,Yes,No,59,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,46.05,2709.53,1,0.7675,1
Female,0,No,No,24,No,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),57.08,1373.56,0,2.2832,0
Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),88.53,5836.95,0,1.3213432835820895,0
Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,79.59,242.43,1,19.8975,0
Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),24.73,598.32,1,0.9892,0
Female,0,Yes,Yes,4,Yes,No,No,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),81.93,325.31,1,16.386000000000003,0
Male,1,Yes,No,46,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,Two year,No,Bank transfer (automatic),81.7,3762.13,0,1.7382978723404257,0
Female,0,Yes,No,69,Yes,Yes,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,57.51,3960.32,1,0.8215714285714285,1
Male,0,Yes,No,45,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,84.44,3805.86,1,1.8356521739130434,1
Female,0,No,No,37,Yes,No,DSL,No,No,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),109.82,4056.71,0,2.8899999999999997,0
Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),56.83,508.63,1,5.683,0
Female,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),74.32,219.27,1,18.58,0
Male,0,No,No,72,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,117.97,8491.55,1,1.616027397260274,1
Male,1,Yes,No,36,No,No,Fiber optic,No,No internet service,Yes,No,No,No,One year,Yes,Electronic check,29.47,1062.51,0,0.7964864864864865,0
